Test Case No.,Test Case/Summary,Test Type,Description,Data,Test Steps,Expected outcome
TC-001,Home — page title is correct,Functional / E2E,"Verify the browser/document title of the home page matches the design",TEST_URL=https://example.com/,"1. Navigate to https://example.com/ 2. Read document.title","Document title equals 'Example Domain'"
TC-002,Home — h1 text matches design,UI Testing,"The <h1> on the home page must exactly match the design copy",TEST_URL=https://example.com/,"1. Navigate to https://example.com/ 2. Assert text of h1 element","h1 text = 'Example Domain'"
TC-003,Home — body paragraph text matches design,UI Testing,"The descriptive paragraph must exactly match the design copy",TEST_URL=https://example.com/,"1. Navigate to https://example.com/ 2. Assert text of first <p> element","p text = 'This domain is for use in documentation examples without needing permission. Avoid use in operations.'"
TC-004,Home — 'Learn more' link is present and visible,Functional / E2E,"The Learn more hyperlink must exist and be visible (confirmed text: 'Learn more'; href: https://iana.org/domains/example; same-tab)",TEST_URL=https://example.com/,"1. Navigate to https://example.com/ 2. Locate a:has-text('Learn more') 3. Assert visible","Link with exact text 'Learn more' is present and visible"
TC-005,Home — background colour matches design (#eee),UI Testing,"Body background must be the light grey (#eeeeee) shown in the design",TEST_URL=https://example.com/,"1. Navigate to https://example.com/ 2. Evaluate getComputedStyle(document.body).backgroundColor","Computed background-color equals 'rgb(238, 238, 238)'"
TC-006,Home — NO header element present,UI Testing,"Design shows no <header>; any <header> in live DOM is a design defect",TEST_URL=https://example.com/,"1. Navigate to https://example.com/ 2. Count header elements","<header> count = 0"
TC-007,Home — NO nav element present,UI Testing,"Design shows no <nav>; any <nav> in live DOM is a design defect",TEST_URL=https://example.com/,"1. Navigate to https://example.com/ 2. Count nav elements","<nav> count = 0"
TC-008,Home — NO footer element present,UI Testing,"Design shows no <footer>; any <footer> in live DOM is a design defect",TEST_URL=https://example.com/,"1. Navigate to https://example.com/ 2. Count footer elements","<footer> count = 0"
TC-009,Navigate via 'Learn more' → Screen 2 loads,Functional / E2E,"Clicking the Learn more link must navigate (same tab) to the IANA example-domains page",TEST_URL=https://example.com/,"1. Navigate to https://example.com/ 2. Click a:has-text('Learn more') 3. Wait for networkidle 4. Assert h1","Page h1 = 'Example Domains'; URL = https://www.iana.org/help/example-domains"
TC-010,Screen 2 — h1 text matches design,UI Testing,"The h1 on the IANA page must match the design copy",Reached via TC-009,"1. Navigate to Screen 2 via TC-009 2. Assert text of h1","h1 text = 'Example Domains'"
TC-011,Screen 2 — top-nav has exactly 4 items in correct order,UI Testing,"Nav must contain Domains | Protocols | Numbers | About in that exact order",Reached via TC-009,"1. Navigate to Screen 2 2. Collect all nav a texts 3. Assert count=4 and order","Nav items = ['Domains','Protocols','Numbers','About']; count = 4"
TC-012,Screen 2 — RFC 2606 link present in body,UI Testing,"Body must contain a visible clickable RFC 2606 link as shown in design",Reached via TC-009,"1. Navigate to Screen 2 2. Locate a:has-text('RFC 2606') 3. Assert visible","RFC 2606 link visible; count=1"
TC-013,Screen 2 — RFC 6761 link present in body,UI Testing,"Body must contain a visible clickable RFC 6761 link as shown in design",Reached via TC-009,"1. Navigate to Screen 2 2. Locate a:has-text('RFC 6761') 3. Assert visible","RFC 6761 link visible; count=1"
TC-014,Screen 2 — 'Further Reading' section heading present,UI Testing,"A section heading 'Further Reading' must appear as shown in the design",Reached via TC-009,"1. Navigate to Screen 2 2. Locate h2 3. Assert text = 'Further Reading'","'Further Reading' h2 visible; it is the only h2 on the page"
TC-015,Screen 2 — 'IANA-managed Reserved Domains' bullet link present,UI Testing,"The bulleted link beneath Further Reading must be present as shown in design",Reached via TC-009,"1. Navigate to Screen 2 2. Locate a:has-text('IANA-managed Reserved Domains') 3. Assert visible","Link visible and in a list item"
TC-016,Screen 2 — 'Last revised 2017-05-13.' text present,UI Testing,"Revision date line must appear exactly as shown in design",Reached via TC-009,"1. Navigate to Screen 2 2. Locate text='Last revised 2017-05-13.' 3. Assert visible","Text 'Last revised 2017-05-13.' visible"
TC-017,Screen 2 — footer 'Privacy Policy' link present,UI Testing,"Footer must contain a Privacy Policy link as shown in design",Reached via TC-009,"1. Navigate to Screen 2 2. Locate a:has-text('Privacy Policy') 3. Assert visible","'Privacy Policy' link visible in footer"
TC-018,Screen 2 — footer 'Terms of Service' link present,UI Testing,"Footer must contain a Terms of Service link as shown in design",Reached via TC-009,"1. Navigate to Screen 2 2. Locate a:has-text('Terms of Service') 3. Assert visible","'Terms of Service' link visible in footer"
