Test Case No.,Test Case/Summary,Test Type,Description,Data,Test Steps,Expected outcome
TC-001,Page loads successfully,Functional / E2E,Verify that navigating to the application URL returns a rendered page without errors.,URL: https://example.com/,"1. Open browser. 2. Navigate to https://example.com/. 3. Wait for page to load.",Page loads with HTTP 200; no browser error page is shown; page content is visible.
TC-002,Page title matches design,Functional / E2E,Verify the browser/document title matches the design specification.,Expected title: Example Domain,"1. Navigate to https://example.com/. 2. Read document.title.",document.title === 'Example Domain'
TC-003,H1 heading text matches design,Functional / E2E,Verify the main heading on Screen 1 matches the design exactly.,Expected h1: 'Example Domain',"1. Navigate to https://example.com/. 2. Locate the <h1> element. 3. Read its text content.",h1 text content === 'Example Domain'
TC-004,Paragraph text matches design,Functional / E2E,"Verify the body paragraph on Screen 1 contains the exact text from the design, describing domain use.",Expected text: 'This domain is for use in illustrative examples in documents. You may use this domain in literature without prior coordination or asking for permission.',"1. Navigate to https://example.com/. 2. Locate the first visible <p> element. 3. Read its text content.","First <p> contains 'This domain is for use in illustrative examples in documents. You may use this domain in literature without prior coordination or asking for permission.'"
TC-005,Navigation link is present and labeled correctly,Functional / E2E,Verify a link with text 'More information...' exists on Screen 1.,Expected link text: 'More information...',"1. Navigate to https://example.com/. 2. Locate an <a> element with text matching 'More information...'. 3. Verify it is visible.",An <a> element with visible text 'More information...' is present on the page.
TC-006,Clicking 'More information...' navigates to IANA page,Functional / E2E,Verify that clicking the link on Screen 1 navigates the user to a different page (Screen 2) as defined in the flow.,Nav action: click 'More information...' link,"1. Navigate to https://example.com/. 2. Click the link with text 'More information...'. 3. Wait for page load. 4. Read page URL.","URL after navigation is NOT https://example.com/ — it has changed to the IANA Reserved Domains page (different domain/path)."
TC-007,IANA page heading matches design,Functional / E2E,Verify the main heading on Screen 2 (after navigation) matches the design exactly.,Expected heading: 'IANA-managed Reserved Domains',"1. Navigate to https://example.com/. 2. Click 'More information...'. 3. Wait for page load. 4. Locate the main heading (h1 or h2). 5. Read its text.",The page contains a heading with text 'IANA-managed Reserved Domains'.
TC-008,IANA page contains 'Example Domains' section,Functional / E2E,Verify the 'Example Domains' section heading is present on Screen 2 as shown in the design.,Expected section: 'Example Domains',"1. Navigate to https://example.com/. 2. Click 'More information...'. 3. Wait for page load. 4. Locate heading containing 'Example Domains'.",A heading or section label with text 'Example Domains' is visible on the page.
TC-009,IANA page contains 'Test Domains' section,Functional / E2E,Verify the 'Test Domains' section heading is present on Screen 2 as shown in the design.,Expected section: 'Test Domains',"1. Navigate to https://example.com/. 2. Click 'More information...'. 3. Wait for page load. 4. Locate heading containing 'Test Domains'.",A heading or section label with text 'Test Domains' is visible on the page.
D-01,H1 text — Screen 1 design parity,UI Testing,Validate that the live app's h1 text matches the design image exactly. Any deviation is a defect.,Design: h1 = 'Example Domain',"1. Navigate to https://example.com/. 2. Capture h1 text. 3. Compare to design value.",Live h1 text === 'Example Domain'. Deviation = defect.
